id,shop_name,URL,rate,rocation,comment,smoking
74,びあん香,https://tabelog.com/tokyo/A1319/A131907/13076147/,3.3, 西荻窪駅 164m / 喫茶店,,
75,ブーフーウー,https://tabelog.com/tokyo/A1328/A132804/13137905/,3.21, 一橋学園駅 785m / 喫茶店、サンドイッチ、パスタ,,
76,ホメリ,https://tabelog.com/tokyo/A1309/A130903/13114323/,3.31, 四谷三丁目駅 283m / 喫茶店,,分煙
77,cross-modal cafe,https://tabelog.com/tokyo/A1311/A131101/13203545/,, 仲御徒町駅 148m / カフェ、バー、喫茶店,,
78,珈琲 杖,https://tabelog.com/tokyo/A1318/A131806/13203592/,3.14, 久我山駅 647m / 喫茶店、カフェ,,喫煙可
79,TOPOS,https://tabelog.com/tokyo/A1319/A131907/13169752/,3.06, 西荻窪駅 347m / 喫茶店、カフェ、カフェ・喫茶（その他）,,完全禁煙
80,ルピナス,https://tabelog.com/tokyo/A1317/A131707/13053592/,3.11, 駒沢大学駅 717m / 喫茶店、オムライス、洋食,,喫煙可
81,セラヴィ,https://tabelog.com/tokyo/A1324/A132404/13076038/,, 足立区 / 喫茶店,,
82,茶茶,https://tabelog.com/tokyo/A1315/A131502/13089370/,3.16, 大森町駅 121m / 喫茶店、定食・食堂、スイーツ（その他）,,喫煙可
83,ドトールコーヒーショップ 日暮里駅前店,https://tabelog.com/tokyo/A1311/A131105/13086887/,3.03, 日暮里駅 73m / コーヒー専門店、カフェ、喫茶店,,分煙
84,カフェ メルカド,https://tabelog.com/tokyo/A1319/A131905/13231305/,3.02, 阿佐ケ谷駅 270m / コーヒー専門店、喫茶店,,
85,珈生園,https://tabelog.com/tokyo/A1312/A131203/13089608/,3.08, とうきょうスカイツリー駅 207m / 喫茶店,,喫煙可
86,スターバックスコーヒー 東武池袋店,https://tabelog.com/tokyo/A1305/A130501/13146601/,3.03, 池袋駅 66m / カフェ、コーヒー専門店、喫茶店,,完全禁煙
87,アイアイ,https://tabelog.com/tokyo/A1324/A132404/13077384/,3, 小菅駅 439m / 喫茶店,,
88,ドトールコーヒーショップ 大手町フィナンシャルシティ店,https://tabelog.com/tokyo/A1302/A130201/13148681/,3.01, 大手町駅 314m / カフェ、喫茶店,,分煙
89,パールタウン,https://tabelog.com/tokyo/A1324/A132404/13213130/,3, 竹ノ塚駅 113m / 喫茶店,,
90,星乃珈琲店 八王子堀之内店,https://tabelog.com/tokyo/A1329/A132904/13138117/,3.04, 京王堀之内駅 558m / 喫茶店、パンケーキ,,分煙
91,ドトールコーヒーショップ 中河原店,https://tabelog.com/tokyo/A1326/A132602/13096685/,3.03, 中河原駅 4m / コーヒー専門店、カフェ、喫茶店,,分煙
92,プロント 新宿西口店,https://tabelog.com/tokyo/A1304/A130401/13118896/,3.09, 新宿駅 317m / カフェ、バー、喫茶店,,喫煙可
